id,item name,item image 1,item image 2,item description,true category lost,true category found,true accepted reports lost,true accepted reports found,predicted category lost,accepted reports lost,response time lost,correct category lost,correct accepted lost
1,Necklace,https://drive.google.com/uc?export=download&id=1tLXH_ZXOp0n92BKKpTKmZX70g4z8TTZW,https://drive.google.com/uc?export=download&id=1Ul9L1lHZTVB9herE9Ab_zHX9PZSDaybf,Golden necklace,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,8.683419942855835,True,True
2,Gold Bracelet,https://drive.google.com/uc?export=download&id=1HVUfJwjDQ7oYUgw7V4vwcy4WBCSJh_CD,,A gold band bracelet,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.2521698474884033,True,True
3,خاتم,https://drive.google.com/uc?export=download&id=13qI5m9vSEQha130iwZrIW9ZSRV57Owlt,https://drive.google.com/uc?export=download&id=1j0nbwrTTH8ule7nrBR7_sR7sCQ8PVRgn,خاتم ذهبي,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,8.809203386306763,True,True
4,خاتم,https://drive.google.com/uc?export=download&id=153zOM6t4BUt2stkXl_JTz2kYiftKhzEC,https://drive.google.com/uc?export=download&id=17gEGgwn7C5pSmZN-0PvpODFijmBz7_vo,خاتم يد فضي,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,6.213510036468506,True,True
5,bracelet,https://drive.google.com/uc?export=download&id=1Bo6_Lu0dsLuHhMYXq-9xQDe_ADLIaS4D,,silver pandora bracelet that has a blue moon in the center,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.6226999759674072,True,True
6,ساعة,https://drive.google.com/uc?export=download&id=15XDCEfYuapoepaB4AMlR9kBYcwO6tLV-,,ساعة يد,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.2653450965881348,True,True
7,ساعة,https://drive.google.com/uc?export=download&id=1RMsGCxnUVgXxB8uPD4dIhyfZMn8_bGRl,,ساعة نسائية,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,3.142731189727783,True,True
8,خاتم,https://drive.google.com/uc?export=download&id=1rcCuVF7CHN73pBF8SwxpF9fO9VLOXiZs,,خاتم يد ذهب,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.9512388706207275,True,True
9,نظارة,https://drive.google.com/uc?export=download&id=10poks-O0C1-iOC9ncB4kaJxF7rB3FgKW,,نظاره سوداء,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.161954164505005,True,True
10,اسوارة,https://drive.google.com/uc?export=download&id=1GHUcfkoDuOy8ayU-2S9Lu7kIfRpKzb1x,,اسوارة ذهبية,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,5.829024076461792,True,True
11,اسوارة,https://drive.google.com/uc?export=download&id=17LkJhkd7eG4KSbzodunXbSu9pPvr1KqX,,اسوارة ذهب,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,2.4480881690979004,True,True
12,نظارة,https://drive.google.com/uc?export=download&id=1D3723nvBlsI33buFrtWGU2I7marNmaqa,,نظارة طبيه لون الايطار فضي واطرافها سوداء,accessories and jewelry,accessories and jewelry,True,True,accessories and jewelry,True,6.5174150466918945,True,True
